method,n_simul,t_max,n_grid,time,lag,error_fro,rel_error_fro,error_nuc,rel_error_nuc,error_sup,rel_error_sup
space,100,800,101,0.76838463306427,0,0.00325462808706451,0.00531895146856185,0.00783140460773408,0.00619623578797201,0.0125735749684912,0.00886643818757551
space,100,800,101,0.76838463306427,1,0.00323589522039627,0.00528833684654976,0.00759962730029001,0.00601285273995449,0.0113159388768723,0.00797959791368788
space,100,800,101,0.76838463306427,2,0.00369184051612361,0.00603347602541063,0.00887643622864206,0.00702306860448077,0.0123749626024029,0.00872638380593599
space,100,800,101,0.76838463306427,3,0.00405439633067305,0.00662599127773635,0.00938081043125688,0.00742213130667922,0.0130317446984503,0.00918952319723113
space,100,800,101,0.76838463306427,5,0.00442972762651304,0.00723938515679119,0.0100995147987188,0.00799077281426289,0.0123560461842434,0.00871304462016255
space,100,800,101,0.76838463306427,10,0.00568064760965268,0.00928373016438776,0.0113669487061726,0.00899357112818203,0.0175515874366465,0.0123767556554782
space,100,800,101,0.76838463306427,20,0.00513678636899466,0.00839491231260643,0.010861294337236,0.00859349555373715,0.0143281103634149,0.0101036741897458
space,100,800,101,0.76838463306427,30,0.00440868048318641,0.00720498837445186,0.0102259297068283,0.00809079274899947,0.0103369457380679,0.00728924674681437
space,100,800,101,0.76838463306427,40,0.00365091650783917,0.00596659501531024,0.00867396510151766,0.00686287271284209,0.0106880232054142,0.00753681409906522
space,100,800,101,0.76838463306427,60,0.0042796538960353,0.00699412368059066,0.00987196211223969,0.00781073230170671,0.0110956530606737,0.00782426018533146
space,100,800,101,0.76838463306427,80,0.00407192765487655,0.00665464225109599,0.00971305076109992,0.00768500106314003,0.0121330056139818,0.0085557643371482
space,100,800,101,0.76838463306427,100,0.00561908524336276,0.00918312043884421,0.011354514167304,0.00898373287583727,0.0138826105517088,0.00978952355613782
lowrank_hybrid,100,800,101,1.08051255941391,0,0.00601343181858212,0.00982759047943714,0.0117544648750279,0.00930017532936297,0.0168502167451794,0.0118821739714262
lowrank_hybrid,100,800,101,1.08051255941391,1,0.00507045168484971,0.008286503315876,0.0106545103435062,0.00842988730636563,0.0142935558969643,0.0100793076081127
lowrank_hybrid,100,800,101,1.08051255941391,2,0.00331085816258025,0.00541084677418232,0.00821187350426849,0.00649726416168017,0.0103170650507921,0.00727522759273139
lowrank_hybrid,100,800,101,1.08051255941391,3,0.00438594361102468,0.00716783011355692,0.0101582606076178,0.00803725271176858,0.0140586076543548,0.00991363045777192
lowrank_hybrid,100,800,101,1.08051255941391,5,0.00275770384308987,0.00450684149269151,0.00699600887262754,0.00553526764620669,0.00876249885148118,0.00617900276015789
