method,n_simul,t_max,n_grid,time,lag,error_fro,rel_error_fro,error_nuc,rel_error_nuc,error_sup,rel_error_sup
lowrank_hybrid,100,800,501,37.5085547828674,0,0.00554926535368924,0.00903377757988343,0.0110523060150869,0.00872145445813897,0.0157517873950979,0.0110984653133561
space,100,800,1001,80.5804202127457,0,0.00501863596209882,0.0081658551998759,0.0105195920226203,0.00829825721505983,0.0127420847392496,0.00897701592950533
svd_hybrid,100,800,501,41.2267530727386,0,0.00453091701725846,0.00737598473996382,0.010177308563779,0.00803098765309818,0.0113230260140433,0.00797802867109532
lowrank_spec,100,800,501,131.169527373314,0,0.00603337944649996,0.00982187812274746,0.0116581670417571,0.00919954376772304,0.0152277798549925,0.01072925772047
lowrank_hybrid,100,800,1001,139.189919097424,0,0.00665679247408285,0.0108313103101129,0.0131044411078513,0.0103372852044758,0.0167363281685726,0.0117910285204674
space,100,800,501,17.9114191126823,0,0.00362869251496103,0.00590723257884084,0.00819240570045969,0.00646468647553053,0.0144399653951517,0.0101741758598157
lowrank_spec,100,800,201,13.8569151759148,0,0.00373837025679995,0.00609482370385804,0.009173971160568,0.00724656340743555,0.0122039810476631,0.00860129474842833
lowrank_hybrid,100,800,201,4.80170879602432,0,0.00879251064284464,0.0143348032969601,0.0148234918385314,0.0117091466331654,0.0222243887381013,0.0156636197150327
space,100,800,201,2.6535836148262,0,0.00466180854827574,0.00760034434555996,0.00991946661733834,0.00783543381076337,0.0112453275391194,0.00792564134021711
svd_hybrid,100,800,201,6.19558769226074,0,0.00492146965133863,0.00802368086313441,0.0110571941577745,0.00873413020056606,0.0135261828151421,0.00953317485169656
lowrank_spec,100,800,101,2.54460081577301,0,0.00457179957704091,0.00747156953844298,0.0100385910315045,0.00794256970822251,0.0111604404576344,0.00786994595504501
lowrank_hybrid,100,800,101,1.15711199045181,0,0.00422614070826933,0.0069066685118153,0.00921808517060012,0.00729338248904148,0.0132354662029295,0.00933318036167885
svd_hybrid,100,800,101,1.51823095083237,0,0.00541453607785286,0.0088488312189465,0.0112009179596474,0.0088622069981118,0.014590819855999,0.0102889275869
svd_spec,100,800,101,2.83974413871765,0,0.00532768212132785,0.00870688812521938,0.011263536283852,0.00891175084380149,0.0125191087314213,0.00882803053299036
space,100,800,101,0.836429305076599,0,0.00534327141959555,0.00873236529763254,0.0117586311440616,0.00930347169656424,0.0161841674183588,0.0114124996583586
svd_spec,100,800,201,12.8626842856407,0,0.00462754779552101,0.00754448758615477,0.0100364555213579,0.00792784390189034,0.0164504960058707,0.0115942137530139
svd_hybrid,100,800,1001,162.678050980568,0,0.00658481407184042,0.0107141937838956,0.0138565524771811,0.0109305794675659,0.0178599635970638,0.0125826488358975
svd_spec,100,800,501,133.52582123518,0,0.00341824861220825,0.00556464607606216,0.00844558821400115,0.00666447462457696,0.011101205563999,0.00782173741926087
lowrank_spec,100,800,1001,475.309604995251,0,0.00401033367361917,0.00652523999135917,0.00922854623393933,0.00727983083427842,0.0126704437064948,0.00892654360057275
svd_spec,100,800,1001,485.482113995552,0,0.00513071991291335,0.00834822772489935,0.0105049729935422,0.00828672516483739,0.0160113594275313,0.0112802756829294
