method,n_simul,n_pc,t_max,n_grid,time,lag,error_fro,rel_error_fro,error_nuc,rel_error_nuc,error_sup,rel_error_sup
CKL,1000,300,1000,1001,18.4431149230003,1,0.00482506034238974,0.00350303913727149,0.0136471977410377,0.00568443167012837,0.020800743287837,0.00667923669815811
CKL,1000,300,1000,1001,18.4431149230003,2,0.00535749041196838,0.00388958836966315,0.0130501375394502,0.00543573974206527,0.0191093566739254,0.00613612285909557
CKL,1000,300,1000,1001,18.4431149230003,3,0.00627712815024979,0.00455725400712875,0.0134730558814705,0.0056118968156914,0.0189048562477818,0.00607045661187612
CKL,1000,300,1000,1001,18.4431149230003,5,0.00818725495997248,0.00594402401554197,0.0149563820271005,0.00622974278519717,0.0224206610328972,0.0071994014779009
CKL,1000,300,1000,1001,18.4431149230003,10,0.00568468240137977,0.00412713282775839,0.0120786457769639,0.00503108681281664,0.0159269641755203,0.00511423857019519
CKL,1000,300,1000,1001,18.4431149230003,20,0.00532413892978144,0.00386537488027723,0.0118859598281664,0.0049508278372733,0.0160385933413878,0.00515008332876605
CKL,1000,300,1000,1001,18.4431149230003,30,0.00532937172253883,0.00386917393697821,0.0120806755076673,0.00503193225125107,0.0156999259746354,0.00504133531562155
CKL,1000,300,1000,1001,18.4431149230003,40,0.00737621012303746,0.00535519784462237,0.0137399100455145,0.00572304888442971,0.0245709523090114,0.00788987220793241
CKL,1000,300,1000,1001,18.4431149230003,60,0.00532352778020951,0.00386493117994661,0.0125586391685071,0.00523101720791423,0.0177213588026437,0.00569042886679237
CKL,1000,300,1000,1001,18.4431149230003,80,0.00921297532272058,0.00668870663495628,0.0150749750118727,0.0062791400117404,0.0250190048911313,0.0080337444344095
CKL,1000,300,1000,1001,18.4431149230003,100,0.00571488094105584,0.00414905725126131,0.0124067822005093,0.00516776462122233,0.016987733994196,0.00545485777803571
CKL,1000,500,1000,1001,30.8776217746735,0,0.00612007000717046,0.00444322831978126,0.0142246754206973,0.00592496694142282,0.0218890324865018,0.00702869253506473
CKL,1000,500,1000,1001,30.8776217746735,1,0.00702075867798585,0.00509713675625082,0.0145769000391071,0.00607167814279033,0.0227435661662434,0.00730308814845994
CKL,1000,500,1000,1001,30.8776217746735,2,0.00714626209949213,0.00518825341929762,0.0143643064693455,0.0059831270978249,0.0232090118487065,0.00745254539814989
CKL,1000,500,1000,1001,30.8776217746735,3,0.00868898942366675,0.00630828794969382,0.0162058771312769,0.00675019172106131,0.0266668965468569,0.00856289179559767
CKL,1000,500,1000,1001,30.8776217746735,5,0.010138888195902,0.00736092807931063,0.0175849445295503,0.00732461106653719,0.0278177160405106,0.00893242646503721
CKL,1000,500,1000,1001,30.8776217746735,10,0.00863084665631508,0.00626607575437829,0.0150523100123609,0.00626969941862575,0.02641832650643,0.00848307454517023
CKL,1000,500,1000,1001,30.8776217746735,20,0.00897597597578512,0.00651664288260712,0.0158909562682743,0.00661901855560972,0.0236337003388844,0.00758891528213091
CKL,1000,500,1000,1001,30.8776217746735,30,0.00974065911611952,0.0070718100262529,0.0160579052327872,0.00668855737223567,0.0275030236562725,0.00883137695481785
CKL,1000,500,1000,1001,30.8776217746735,40,0.00861091293964971,0.0062516036888133,0.0144990182109767,0.00603923822810947,0.025917789195801,0.00832234917455786
CKL,1000,500,1000,1001,30.8776217746735,60,0.00835718135810619,0.00606739217694886,0.0153066744919015,0.0063756491916629,0.0229584681715687,0.0073720944017757
CKL,1000,500,1000,1001,30.8776217746735,80,0.00699541912215249,0.00507874000066509,0.0131583892030722,0.00548082952508985,0.0200914992015331,0.00645149439762393
CKL,1000,500,1000,1001,30.8776217746735,100,0.00653933857654174,0.00474762123993446,0.0127581621160419,0.00531412398070419,0.0181196554237671,0.00581832417186618
