"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101"
"1" -0.00745334886899142 -0.0246004815217713 -0.0416097665683629 -0.058251350920526 -0.0743106367500622 -0.0895971979700278 -0.103951975452428 -0.117252264420152 -0.129414193325661 -0.140392602712285 -0.150178446247103 -0.158794035258779 -0.166286615159102 -0.172720882647557 -0.178171116605932 -0.182713598421237 -0.186419940169356 -0.189351828228798 -0.191557536909178 -0.193070386727202 -0.193909132438016 -0.194080084790588 -0.193580614034848 -0.192403566550314 -0.190542058646253 -0.187994098728799 -0.184766530424777 -0.180877879442955 -0.176359815863838 -0.171257097528862 -0.16562602341257 -0.159531581865863 -0.153043611990908 -0.146232394243867 -0.139164139511587 -0.131896849832574 -0.124476979087793 -0.116937233716131 -0.109295731449251 -0.101556593126404 -0.0937118937062979 -0.0857447589410797 -0.0776332780118035 -0.0693548214140034 -0.0608903155134876 -0.0522280339937214 -0.0433665206300749 -0.0343163515692625 -0.0251005686777751 -0.0157537556849161 -0.00631987125882256 0.00315091688418463 0.0126060486073052 0.0219946228947426 0.0312712443638393 0.0403992466292292 0.0493529399216526 0.0581186328444116 0.0666943070448603 0.0750879656043501 0.0833148164366879 0.0913935763662885 0.099342276858116 0.107174008540369 0.114893052608738 0.122491811446172 0.129948871640636 0.137228417827142 0.144281076938624 0.151046123629607 0.157454834120901 0.163434652423003 0.168913742870137 0.173825455952509 0.178112236133194 0.181728551370585 0.184642520126125 0.186836043770194 0.188303407750483 0.189048478315107 0.189080776553659 0.188410842126375 0.187045391503302 0.184982819553936 0.182209583220574 0.178697941301854 0.174405409943452 0.169276139117812 0.163244235094667 0.156238864376663 0.148190793744205 0.139039866382699 0.128742800852864 0.117280639554862 0.10466517316277 0.0909437285807522 0.0762018259021194 0.0605633748881153 0.0441882793852347 0.0272675314327032 0.0100160865503994
"2" -0.00687854323749207 -0.0240377864971126 -0.0410603285566318 -0.0577160280687716 -0.0737899499377639 -0.0890913016550328 -0.103460650523378 -0.116774933429856 -0.128949956681489 -0.139940292739493 -0.149736694664731 -0.158361348634158 -0.165861452417228 -0.172301728741879 -0.177756546995807 -0.182302329990581 -0.186010865562328 -0.188944032142559 -0.19115029452329 -0.192663146012171 -0.193501483430025 -0.193671719927078 -0.193171284231781 -0.191993037823872 -0.190130073741503 -0.1875803474617 -0.184350631356834 -0.180459374205031 -0.175938176060523 -0.170831742826137 -0.165196348269352 -0.159096987523692 -0.152603539863149 -0.145786356785645 -0.138711745001461 -0.131437818213157 -0.124011147015289 -0.116464548150833 -0.108816232356419 -0.101070387021833 -0.0932191207542253 -0.085245556995828 -0.0771277473209225 -0.0688429936390308 -0.0603721302839321 -0.0517033254381852 -0.0428350153068122 -0.0337776780531099 -0.0245542778717184 -0.015199349834726 -0.00575683876984968 0.00372306430812299 0.0131877402032429 0.0225861979977722 0.0318729294976387 0.0410111427118197 0.049975020711601 0.0587507545818274 0.0673362280773322 0.0757393737507014 0.0839753610387126 0.0920629014941494 0.100020052020244 0.107859953517 0.11558695365386 0.123193527022878 0.130658326976122 0.137945588780903 0.145005964845897 0.151778723789642 0.158195101339309 0.164182467408514 0.169668883282638 0.174587575494967 0.178880854309729 0.182503055469026 0.1854221797296 0.187620036783342 0.189090855675333 0.189838487458799 0.189872481106716 0.189203444699291 0.187838196796259 0.18577525736239 0.183001217907614 0.1794884661155 0.175194626009384 0.170063920458889 0.164030482471874 0.157023451970316 0.14897351357597 0.139820375825354 0.129520578532499 0.118054954411644 0.105435070440435 0.0917080351442607 0.0769591756563686 0.0613122533328469 0.0449270846489369 0.0279946476358974 0.0107299641936287
"3" -0.00630314085185531 -0.0234742508272157 -0.0405098070329411 -0.0571793833094279 -0.0732677105529419 -0.0885836327667575 -0.102967346176117 -0.116295431297641 -0.128483373684265 -0.13948547852354 -0.149292298524765 -0.157925894477105 -0.165433415871208 -0.17187961053548 -0.177338937261591 -0.181887959125718 -0.185598638611045 -0.188533045221081 -0.190739833441486 -0.192252668805647 -0.193090589860397 -0.193260112017961 -0.192758722498913 -0.191579297986315 -0.18971490836852 -0.187163456261965 -0.18393164273751 -0.180037839432099 -0.175513575971596 -0.170403505720967 -0.164763876461379 -0.158659689187464 -0.152160862335305 -0.14533781741106 -0.138256955959059 -0.13097650246491 -0.123543143517992 -0.115989805646783 -0.108334792292674 -0.100582357310869 -0.0927246430626637 -0.0847447709343048 -0.0766207552390584 -0.0683298296737409 -0.0598527368754462 -0.0511775397632182 -0.0423025670627724 -0.0332381988667469 -0.024007321420004 -0.0146444206769833 -0.00519342700966003 0.00429544599501472 0.0137695208638754 0.0231777175540603 0.0324744157722324 0.0416226985172846 0.0505966221414322 0.0593822604751984 0.0679773994676644 0.0763899010711887 0.0846348960533585 0.092731090434601 0.100696566288479 0.108544514575815 0.116279349345988 0.123893617473339 0.131366039348286 0.138660901360214 0.14572888209189 0.152509245004868 0.158933186346031 0.164928003019715 0.170421654356539 0.175347243964944 0.179646948818399 0.183274973177956 0.186199200627637 0.18840134950115 0.189875592564381 0.190625765638991 0.190661445439762 0.189993308288295 0.188628274691729 0.186564989674709 0.183790179445862 0.180276360912316 0.175981266537891 0.170849192864741 0.164814300585579 0.157805704090823 0.149754006902681 0.140598783868953 0.130296396801586 0.118827469143522 0.106203344158662 0.0924709114643893 0.0777153041427967 0.0620601334776513 0.0456651263541243 0.0287212440877549 0.0114435718593545
"4" -0.00572698452433612 -0.0229097144702734 -0.0399580387219928 -0.056641249805188 -0.0727437479362493 -0.0880740166452482 -0.10247188366041 -0.115813575183611 -0.128014257490764 -0.139027969379826 -0.148845063524181 -0.157487475132268 -0.165002304803038 -0.171454324541354 -0.176918081426749 -0.181470277610659 -0.185183049069439 -0.188118655350244 -0.190325939794499 -0.191838739549901 -0.192676234510333 -0.19284504218149 -0.192342708272296 -0.191162124767346 -0.189296338533322 -0.186743199411264 -0.183509337147157 -0.179613046053568 -0.175085784953282 -0.169972154098169 -0.164328374521595 -0.158219452167205 -0.151715343623461 -0.144886539361899 -0.137799534753942 -0.130512664163469 -0.123072729428692 -0.115512766317457 -0.10785117065102 -0.100092262645946 -0.0922282185124742 -0.0842421578333582 -0.076112058015086 -0.0678150849328501 -0.0593318898878911 -0.0506504308038925 -0.0417689290513546 -0.0326976665970741 -0.023459451486083 -0.0140887201156088 -0.00462938779830799 0.00486831003161677 0.0143516384148933 0.0237694289792603 0.0330759500711119 0.0422341603070604 0.0512179897951914 0.0600133954094702 0.0686180654095942 0.0770397910991664 0.0852936643987966 0.0933983855406852 0.101372061496186 0.109227933062991 0.116970480557259 0.12459232318579 0.132072248627989 0.139374594864041 0.146450067333581 0.15323792521236 0.159669326281699 0.165671495535281 0.171172291462999 0.17610469580774 0.180410753192135 0.184044537164627 0.186973814699533 0.189180213118042 0.190657849046909 0.191410543045213 0.191447899421437 0.190780662541275 0.189415854687406 0.187352245871004 0.184576697087695 0.181061854763474 0.176765560326169 0.171632184735032 0.165595917296042 0.158585847914352 0.150532500086142 0.141375315962605 0.131070480146381 0.119598407285353 0.106970216983269 0.0932325794953635 0.078470432835041 0.0628072366127859 0.0464026259582875 0.0294475427996562 0.0121571325148448
"5" -0.00514993705960077 -0.0223440373367158 -0.0394048802604634 -0.0561014805900107 -0.0722179112581026 -0.087562298417687 -0.10197410396912 -0.115329201945293 -0.127542440907683 -0.138567594224229 -0.148394814908997 -0.157045912439913 -0.16456793793499 -0.171025686655593 -0.176493792838978 -0.181049096493219 -0.184763905893404 -0.187700669554774 -0.189908418787647 -0.191421161696461 -0.192258219103977 -0.192426310411603 -0.191923039795497 -0.19074131463508 -0.188874158910325 -0.186319369788715 -0.183083505691698 -0.179184783451618 -0.174654590740893 -0.169537474147143 -0.163889627212264 -0.157776059926336 -0.151266766020617 -0.144432303879951 -0.137339261678438 -0.130046082729797 -0.122599683347955 -0.115033207966522 -0.107365144437092 -0.0995998792146233 -0.0917296224421933 -0.0837374921501072 -0.0756014292007557 -0.0672985320565352 -0.0588093610691063 -0.0501217694656781 -0.0412338714186533 -0.0321558507458635 -0.0229104370703433 -0.0135320168134588 -0.00406448963677617 0.00544188790169776 0.0149343241567778 0.0243615632413403 0.0336777629072607 0.0428457580488204 0.051839353039399 0.0606443881277418 0.0692584540300964 0.0776892713757029 0.085951893074787 0.0940650133203174 0.102046763704323 0.109910434624472 0.117660572531232 0.125289868991015 0.132777179199225 0.140086893174501 0.147169743880473 0.153964987070358 0.160403743075933 0.166413166089734 0.171921014894832 0.176860150454921 0.18117248601344 0.184811965207776 0.18774623899651 0.189956844059287 0.191437841040414 0.192193035211035 0.192232058318704 0.191565722557227 0.190201151783399 0.188137240883659 0.18536098568619 0.181845162387827 0.177547721864606 0.172413110206605 0.166375546243092 0.159364096437311 0.151309205347246 0.142150183451428 0.13184303898404 0.12036797833566 0.10773589757435 0.0939932472141486 0.0792247692558467 0.0635537701020081 0.0471397910150207 0.0301737519001417 0.0128708552643321
"6" -0.00457189534190378 -0.0217771134760616 -0.0388502224834305 -0.0555599629549912 -0.0716900840038156 -0.0870483575825704 -0.101473882521153 -0.114842182918997 -0.127067791271032 -0.138104216550089 -0.147941412548364 -0.156601062906597 -0.164130168696293 -0.1705935475195 -0.176065919627128 -0.180624261636126 -0.18434105288547 -0.187278929735849 -0.189487110530701 -0.190999773627612 -0.191836380320883 -0.192003751680685 -0.191499550311942 -0.190316699077292 -0.188448199211738 -0.185891795327678 -0.182653974546019 -0.178752876090381 -0.174219816162948 -0.169099287160021 -0.163447454406247 -0.157329331045138 -0.150814946941382 -0.143974927331945 -0.136875952151841 -0.129576572712633 -0.122123819003808 -0.114550943523737 -0.106876525780235 -0.0991050183247931 -0.0912286653063159 -0.0832305834522227 -0.0750886774518876 -0.0667799787814154 -0.0582849572545391 -0.0495913617315507 -0.0406971993768492 -0.0316125558682033 -0.0223600822123639 -0.0129741144571138 -0.00349853603300316 0.00601637610007412 0.0155177744202248 0.0249543163587207 0.0342800498653327 0.0434576868040247 0.0524609063573037 0.0612754325135524 0.069898758621034 0.0783385346319277 0.0866097742970535 0.0947311655240374 0.102720864243921 0.110592210204551 0.118349815838946 0.125986445077289 0.13348102083437 0.140797985593832 0.147888100494733 0.154690618723046 0.161136624178202 0.167153201371885 0.172668010533964 0.177613792962269 0.181932331524287 0.185577440780912 0.188516656299829 0.190731424515372 0.192215750262678 0.192973423505253 0.193014103268592 0.192348669339985 0.190984346919404 0.188920155619415 0.18614322610359 0.182626464548267 0.178327931722541 0.173192149530159 0.167153367215226 0.160140628839422 0.152084301124547 0.142923563932112 0.132614250016649 0.121136358110612 0.108500560941621 0.0947530889785421 0.0799784873392679 0.0642999077502123 0.0478767955483918 0.030900046017279 0.0135849157406319
"7" -0.00399280198739343 -0.0212088828267648 -0.0382940022717102 -0.0550166303930903 -0.0711601960155843 -0.0865321201487505 -0.100971141397311 -0.114352436252199 -0.126590222874684 -0.137637746952532 -0.147484763554209 -0.156152830419644 -0.163688898031929 -0.170157805422157 -0.175634357696978 -0.180195666805439 -0.183914381875264 -0.186853325942993 -0.189061903400648 -0.1905744621094 -0.191410603338651 -0.191577249571211 -0.191072121784951 -0.189888158409154 -0.188018338082342 -0.185460352996855 -0.182220619020666 -0.178317197667451 -0.173781333376686 -0.16865746385038 -0.163001725488035 -0.156879133703225 -0.150359753484989 -0.14351427585219 -0.136409471441727 -0.129103998587547 -0.121645000127576 -0.114065835996605 -0.106385176959999 -0.098607541505042 -0.0907252078485217 -0.0827212916630091 -0.0745736618442701 -0.0662592833262179 -0.057758535821599 -0.0490590641839285 -0.0401587687925952 -0.0310676372261746 -0.0218082417086955 -0.0124148675375555 -0.0029313813442335 0.00659192022983369 0.0161021346041888 0.025547833380399 0.0348829555251234 0.0440700905959982 0.0530827931628305 0.0619066713519598 0.0705391213486292 0.0789877224481563 0.0872674491073335 0.095396982707254 0.10339450323181 0.111273399516375 0.119038349805522 0.126682190374404 0.134183912036973 0.141508010147314 0.148605274655623 0.155414957027873 0.161868105749437 0.167891736782118 0.173413412975796 0.178365757102601 0.182690422688781 0.186341096086199 0.189285198127265 0.191504085422435 0.192991707187497 0.193751838064281 0.19379416418862 0.193129632688043 0.191765569845305 0.189701119812133 0.186923548047656 0.183405890873077 0.179106319356055 0.17396943186593 0.167929508934661 0.160915573259571 0.152857914842359 0.143695584014721 0.133384238988143 0.121903671497417 0.10926433119567 0.0955122282776013 0.0807317101815625 0.065045772556048 0.0486137628085028 0.031626549038381 0.0142994388701935
"8" -0.00341265375409498 -0.0206393397141875 -0.0377362111378014 -0.0544714712730085 -0.0706282322541999 -0.0860135674848642 -0.100465858277254 -0.113859935927784 -0.12610970608163 -0.137168152326384 -0.147024831565447 -0.155701175617243 -0.163244083858169 -0.169718415840927 -0.175199060356231 -0.179763263379524 -0.183483842511974 -0.186423806249544 -0.188632743999622 -0.19014517233153 -0.190980831954275 -0.191146746478017 -0.190640695180379 -0.189455632135715 -0.187584513541214 -0.18502497932066 -0.181783374160221 -0.177877681789619 -0.173339074620482 -0.168211935181597 -0.162552370257326 -0.156425396657579 -0.149901113486992 -0.143050276467139 -0.135939745860587 -0.128628286024812 -0.121163151792173 -0.11357780987825 -0.105891021882766 -0.098107372049173 -0.0902191727132376 -0.0822095387391302 -0.0740563036166618 -0.0657363661991443 -0.0572300165604539 -0.0485247959379371 -0.0396184981817659 -0.0305210128440761 -0.0212548332275238 -0.0118541935232182 -0.00236294300737994 0.00716860271574529 0.0166874868341622 0.0261421959902006 0.0354865610128921 0.0446830499094294 0.0537050932493539 0.0625381837286906 0.0711796206040855 0.0796369125570842 0.0879249946302403 0.0960625414418884 0.104067756738162 0.111954078166514 0.119726249592897 0.127377179595725 0.134885927044314 0.142217040547528 0.149321339486656 0.156138074446815 0.162598259518619 0.168628843255522 0.174157292320106 0.179116112125653 0.183446827923236 0.187102998755923 0.190051931407158 0.192274893110065 0.193765777667447 0.194528344391052 0.194572306353002 0.193908677749266 0.192544885655592 0.190480198538151 0.187702016569178 0.184183506336849 0.179882949573565 0.174745021735241 0.168704035496101 0.161688993223095 0.153630109327834 0.144466305730808 0.134153067084705 0.122669978848247 0.110027267936557 0.0962707241160914 0.0814844964225966 0.0657914230913683 0.0493507516500457 0.0323533204886923 0.0150144852529447
"9" -0.00283150617565761 -0.0200685375561573 -0.0371769000033088 -0.0539245336884919 -0.0700942377202212 -0.0854927413122995 -0.0999580715041546 -0.113364716900244 -0.125626272531509 -0.136695461144805 -0.146561642097426 -0.155246121308381 -0.162795746552654 -0.169275397001331 -0.174760043943798 -0.179327066047376 -0.183049448031323 -0.185990382587878 -0.188199643058014 -0.189711913877973 -0.190547074621858 -0.190712249712738 -0.190205276637381 -0.189019125188567 -0.187146729283875 -0.184585676746402 -0.181342241175045 -0.177434328468673 -0.172893038773166 -0.167762698989164 -0.162099385613745 -0.155968115989079 -0.149439022327016 -0.142582923963732 -0.135466769694135 -0.128149428877059 -0.120678267458458 -0.113086858251838 -0.10539405324359 -0.0976045022348137 -0.0897105517203558 -0.0816953160007737 -0.0735365935557147 -0.0652112176368525 -0.0566993891663481 -0.0479885461863241 -0.0390763763061986 -0.0299726711562027 -0.0206998450066798 -0.011292080607394 -0.00179320933498398 0.0077464349605991 0.0172738420716793 0.0267374145703111 0.0360908760197894 0.0452965736645554 0.0543278147205046 0.063169976918417 0.0718202628501911 0.0802861106495653 0.0885824158390762 0.0967278460430744 0.10474062847494 0.112634249306039 0.120413517814424 0.128071414817219 0.135587067371778 0.142925077704995 0.150036295233447 0.156859970492396 0.163327084197925 0.169364518647122 0.174899645527312 0.179864854086337 0.184201542397363 0.187863143127548 0.190816849728257 0.193043840526884 0.194537954136076 0.195302934534757 0.195348521550857 0.194685796158496 0.193322285907293 0.191257383315483 0.18847862314342 0.18495930232517 0.180657813584738 0.175518910054642 0.16947693738713 0.162460878649441 0.154400873806895 0.145235717518629 0.134920721910232 0.123435266946899 0.110789357212625 0.097028561966313 0.0822368311915585 0.0665368444416574 0.0500877474682428 0.0330803464636245 0.0157300420915833
"10" -0.00224947420084137 -0.0194965895528972 -0.0366161799394238 -0.0533759262494497 -0.0695583182957853 -0.0849697445977289 -0.099447881027928 -0.112866876089543 -0.125140016184996 -0.136219764554061 -0.1460952836869 -0.154787753667822 -0.162343970199159 -0.168828831171348 -0.174317389173399 -0.178887154201271 -0.182611276697021 -0.185553132239426 -0.187762676972818 -0.189274762313413 -0.190109406086939 -0.190273833185784 -0.189765939197809 -0.188578709702431 -0.186705056505804 -0.184142515514459 -0.180897289357833 -0.176987206084019 -0.1724432933624 -0.167309822034448 -0.161642837655638 -0.155507357245958 -0.148973545116471 -0.142112283120986 -0.134990607476368 -0.127667491497387 -0.120190411336006 -0.112593045193601 -0.104894334971066 -0.0970989958097394 -0.0891994083925977 -0.0811786866996331 -0.073014594604154 -0.064683900252389 -0.0561667159268315 -0.0474503769255042 -0.0385324649380639 -0.0294226738090236 -0.0201433386930888 -0.0107285905844092 -0.00122224242755709 0.00832535439726991 0.0178611371313591 0.0273334251838689 0.0366958357505729 0.045910596132567 0.0549508908728184 0.0638019832352102 0.0724609794401198 0.0809352471623082 0.0892396423129602 0.0973928252962671 0.105413046493543 0.11331384029926 0.121100081175275 0.128764822090104 0.136287258398344 0.143632046287128 0.150750065796746 0.157580568235418 0.164054501965786 0.170098684190907 0.175640392854095 0.180611902257577 0.184954484424931 0.188621446612806 0.191579869687842 0.193810843568262 0.195308151915835 0.196075523379543 0.19612272435627 0.195460902289551 0.194097684854536 0.192032588321562 0.189253281871671 0.185733192820614 0.181430825171597 0.176291010292819 0.170248127631606 0.163231141982715 0.155170120022637 0.146003730330055 0.135687113582419 0.124199445094672 0.111550507596748 0.0977856498353055 0.0829886221656498 0.0672819442567151 0.0508246582420018 0.0338075356648459 0.0164460192210438
